"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs","1.04","1.04_L375.avi","57.59267","Lethrinidae","Gymnocranius","grandoculis",2,"-22.8402743","113.5183981","12082019","09:51:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.04","1.04_L375.avi","41.34267","Lethrinidae","Lethrinus","miniatus",2,"-22.8402743","113.5183981","12082019","09:51:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.04","1.04_L375.avi","33.84267","Lethrinidae","Lethrinus","rubrioperculatus",3,"-22.8402743","113.5183981","12082019","09:51:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.04","1.04_L375.avi","32.83400","Lutjanidae","Pristipomoides","multidens",8,"-22.8402743","113.5183981","12082019","09:51:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.04","1.04_L375.avi","39.62133","Mullidae","Parupeneus","spilurus",1,"-22.8402743","113.5183981","12082019","09:51:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.04","1.04_L375.avi","58.26400","Rachycentridae","Rachycentron","canadum",1,"-22.8402743","113.5183981","12082019","09:51:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.04","1.04_L375.avi","39.51867","Serranidae","Epinephelus","areolatus",2,"-22.8402743","113.5183981","12082019","09:51:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.04","1.04_L375.avi","33.49600","Triakidae","Mustelus","ravidus",1,"-22.8402743","113.5183981","12082019","09:51:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","42.24733","Carangidae","Carangoides","chrysophrys",1,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","55.20400","Carangidae","Decapterus","spp",4,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","39.91600","Labridae","Bodianus","solatus",1,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","29.46600","Lethrinidae","Gymnocranius","grandoculis",6,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","59.87933","Lethrinidae","Lethrinus","miniatus",4,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","23.94800","Lethrinidae","Lethrinus","rubrioperculatus",5,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","40.58200","Lutjanidae","Pristipomoides","multidens",6,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","29.77467","Mullidae","Parupeneus","spilurus",1,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","47.49400","Scombridae","Scomberomorus","commerson",1,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","20.75200","Serranidae","Epinephelus","areolatus",1,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.05","1.05_L371.avi","41.93800","Synodontidae","Saurida","undosquamis",1,"-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","29.63133","Balistidae","Abalistes","filamentosus",2,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","18.36667","Carangidae","Carangoides","chrysophrys",2,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","9.32200","Carangidae","Decapterus","spp",3,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","32.94400","Carcharhinidae","Carcharhinus","plumbeus",1,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","20.50733","Labridae","Bodianus","solatus",1,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","56.38933","Lethrinidae","Gymnocranius","euanus",2,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
