"campaignid","sample","broad.bryozoa.","broad.bryozoa.bryozoa.cnidaria.matrix.","broad.consolidated.rock.no.biota","broad.consolidated.rock.veneer","broad.crinoids.","broad.hydrocoral.branching.","broad.hydroids.","broad.invertebrate.complex.","broad.invertebrate.complex.complex.1.","broad.octocoral.black.branching.3d.","broad.octocoral.black.fan.2d.","broad.octocoral.black.organ.pipe.coral.","broad.octocoral.black.small.mixed.","broad.octocoral.black.unknown.","broad.octocoral.black.whip.","broad.sponges.crusts.","broad.sponges.erect.forms.","broad.sponges.hollow.forms.","broad.sponges.massive.forms.","broad.sponges.small.mixed.","broad.sponges.unknown.","broad.unconsolidated.pebble.gravel.biogenic.","broad.unconsolidated.pebble.gravel.gravel.2.10mm.","broad.unconsolidated.pebble.gravel.pebble.10.64mm.","broad.unconsolidated.sand.mud.coarse.sand.","broad.unconsolidated.sand.mud.fine.sand.","broad.unconsolidated.unknown.","broad.total.points.annotated"
"2019-08_Ningaloo_stereo-BRUVs","3.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23
"2019-08_Ningaloo_stereo-BRUVs","30.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,21
"2019-08_Ningaloo_stereo-BRUVs","30.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","30.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19
"2019-08_Ningaloo_stereo-BRUVs","30.04",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,19,0,0,24
"2019-08_Ningaloo_stereo-BRUVs","30.05",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,21,0,0,28
"2019-08_Ningaloo_stereo-BRUVs","30.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,4,10,0,22
"2019-08_Ningaloo_stereo-BRUVs","31.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0,24
"2019-08_Ningaloo_stereo-BRUVs","31.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,21
"2019-08_Ningaloo_stereo-BRUVs","31.03",0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,23
