Scientific name,Common name
Lutjanus quinquelineatus,Fiveline snapper
Lutjanus sebae,Red emperor
Lutjanus vitta,Brownstripe snapper
Malacanthus brevirostris,Flagtail blanquillo
Malacanthus latovittatus,Blue blanquillo
Mulloidichthys flavolineatus,Yellowstripe goatfish
Mustelus ravidus,Grey gummy shark
Mustelus stevensi,Western Spotted Gummy Shark
Myripristis botche,Blacktip soldierfish
Naso brachycentron,Humpback unicornfish
Naso hexacanthus,Sleek unicornfish
Nelusetta ayraud,Ocean jacket
Nemipterus spp,Undifferentiated Threadfin Bream
Nemipterus virgatus,Golden threadfin bream
Netuma thalassina,Giant sea catfish
Novaculichthys taeniourus,Carpet wrasse
Orectolobus sp1,Unidentified Wobbegong
Oxycheilinus orientalis,Oriental Maori wrasse
Paracirrhites forsteri,Freckled hawkfish
Paramonacanthus choirocephalus,Pigface leatherjacket
Parapercis clathrata,Spothead grubfish
Parapercis nebulosa,Pinkbanded grubfish
Parapercis sp1,Unidentified Grubfish
Parapercis spp,Undifferentiated Grubfish
Parascolopsis eriomma,Rosy sea perch
Parascolopsis inermis,Redbelt Monocle Bream
Parupeneus chrysopleuron,Rosy goatfish
Parupeneus cyclostomus,Goldsaddle goatfish
Parupeneus heptacanthus,Opalescent goatfish
Parupeneus indicus,Yellowspot goatfish
Parupeneus spilurus,Blacksaddle goatfish
Pentapodus nagasakiensis,Japanese threadfin bream
Pentapodus vitta,Western butterfish
Platax batavianus,Humphead batfish
Plectorhinchus gibbosus,Brown sweetlips
Plectropomus spp,Undifferentiated Coral Trout
Pomacanthus imperator,Emperor Angelfish
Pomacanthus semicirculatus,Blue angelfish
Priacanthus blochii,Glasseye
Priacanthus hamrur,Lunartail bigeye
Priacanthus sp1,Unidentified Bigeye
Prionace glauca,Undifferentiated Bigeye
Pristipomoides filamentosus,Rosy snapper
Pristipomoides multidens,Goldband snapper
Pristipomoides sp1,Unidentified Jobfish
Pristipomoides spp,Undifferentiated Jobfish
Pristipomoides typus,Sharptooth snapper
Pristotis obtusirostris,Gulf damsel
Pseudanthias cooperi,Red basslet
Pseudanthias georgei,George's basslet
Pseudobalistes flavimarginatus,Yellowmargin triggerfish
Pseudobalistes fuscus,Yellowspotted triggerfish
Pseudojuloides sp1,NA
Ptereleotris sp1,NA
Ptereleotris sp2,NA
Ptereleotris spp,NA
Pterocaesio chrysozona,Yellowband fusilier
Pterocaesio digramma,Doubleline fusilier
Pterois volitans,Common lionfish
Rachycentron canadum,Cobia
Rhizoprionodon acutus,Milk shark
Rhynchobatus australiae,Whitespotted guitarfish
Rhynchobatus laevis,Smoothnose wedgefish
Saurida undosquamis,Largescale saury
Scarus ghobban,Bluebarred parrotfish
Scarus sp3,NA
Scolopsis affinis,Bridled monocle bream
Scolopsis monogramma,Rainbow monocle bream
Scomberomorus commerson,Spanish mackerel
Scomberomorus spp,NA
Seriola dumerili,Amberjack
Seriola lalandi,Yellowtail kingfish
Seriola rivoliana,Highfin amberjack
Seriolina nigrofasciata,Blackbanded amberjack
Sphyraena forsteri,Blackspot barracuda
Sphyraena jello,Pickhandle barracuda
Sphyraena qenie,Blackfin barracuda
Sphyraena sp10,NA
Sphyraena spp,NA
Sphyrna lewini,Scalloped hammerhead
Sphyrna mokarran,Great hammerhead
Stegostoma fasciatum,NA
Suezichthys cyanolaemus,Bluethroat rainbow wrasse
Sufflamen fraenatum,Bridled triggerfish
Symphorus nematophorus,Chinamanfish
Synodus sp10,NA
Triaenodon obesus,Whitetip reef shark
Unknown unknown,NA
Upeneus moluccensis,Goldband goatfish
Uropterygius concolor,NA
Variola louti,Yellowedge coronation trout
Velifer hypselopterus,Highfin veilfin
Xanthichthys lineopunctatus,Lined triggerfish
