"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Carangidae","Decapterus","spp",209.02588,5125.65957,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Carangidae","Decapterus","spp",263.04053,4601.03579,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Labridae","Bodianus","solatus",338.18597,2875.42512,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Labridae","Bodianus","solatus",348.61944,2966.85737,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Gymnocranius","grandoculis",340.49631,4382.8022,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Gymnocranius","grandoculis",349.74387,1799.73304,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Lethrinus","miniatus",460.69206,1446.80628,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Lethrinus","miniatus",480.8525,1363.45213,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Lethrinus","rubrioperculatus",325.46813,1418.3152,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Lethrinus","rubrioperculatus",314.9653,1385.41743,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Lethrinus","rubrioperculatus",313.35848,1397.73568,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
