"","p_inclusion","lon","lat","method","dropcode","depth","slope","selected"
"48",NA,113.559350736872,-22.6961840400256,"BRUV","B48",-80.310334536887,0.60148751387399,"Preferential"
"49",NA,113.544234219496,-22.7309590244257,"BRUV","B49",-90.1481291402469,0.66198648942353,"Preferential"
"50",NA,113.552682120397,-22.7172524594921,"BRUV","B50",-82.3224570150113,0.386915229688533,"Preferential"
"51",NA,113.56100051337,-22.690148801059,"BRUV","B51",-80.2934109899993,0.311148654564276,"Preferential"
"52",NA,113.534767355657,-22.7634034262372,"BRUV","B52",NA,NA,"Preferential"
"53",NA,113.56352242639,-22.6838711986542,"BRUV","B53",-80.0398116182561,0.831854469948277,"Preferential"
"54",NA,113.539146485145,-22.7653974323617,"BRUV","B54",NA,NA,"Preferential"
"55",NA,113.529262227719,-22.7562277251968,"BRUV","B55",NA,NA,"Preferential"
"56",NA,113.530231992071,-22.7531945849548,"BRUV","B56",NA,NA,"Preferential"
"57",NA,113.561106427168,-22.6751285189726,"BRUV","B57",NA,NA,"Preferential"
"58",NA,113.550166668564,-22.7053296919438,"BRUV","B58",-91.9909313271905,1.27067870558496,"Preferential"
"59",NA,113.545426492058,-22.7432898287293,"BRUV","B59",-83.8987160440982,0.665122899448813,"Preferential"
"60",NA,113.538829461943,-22.7510316225044,"BRUV","B60",-91.1726151045942,0.782781966347101,"Preferential"
"61",NA,113.565387550363,-22.6777118048937,"BRUV","B61",NA,NA,"Preferential"
"62",NA,113.541909184567,-22.7374792799043,"BRUV","B62",-90.6129325294834,0.609633740142973,"Preferential"
"63",NA,113.566516966631,-22.6742869148977,"BRUV","B63",NA,NA,"Preferential"
"64",NA,113.550422243179,-22.7343184160351,"BRUV","B64",-80.8433286251243,0.840481469785821,"Preferential"
